时间,站名,具体时间,水位,流量,涨落
2023-03-18,汉口,18日22时,12.36,8610,平
2023-03-18,九江,18日22时,7.56,8640,落
2023-03-18,大通,18日22时,4.04,9040,涨
2023-03-18,城陵矶㈦,18日22时,19.13,1370,平
2023-03-18,皇庄,18日22时,39.32,678,涨
2023-03-18,湖口,18日22时,6.66,1050,平
2023-03-19,向家坝,19日22时,267.75,3270,落
2023-03-19,寸滩,19日22时,161.61,6750,涨
2023-03-19,万县,19日22时,157.95,-,落
2023-03-19,宜昌,19日22时,39.75,6800,落
2023-03-19,沙市,19日22时,29.40,6770,平
2023-03-19,螺山,19日22时,17.87,8150,平
2023-03-19,汉口,19日22时,12.41,8670,平
2023-03-19,九江,19日22时,7.55,8640,落
2023-03-19,大通,19日22时,4.01,9430,落
2023-03-19,城陵矶㈦,19日22时,19.19,1440,涨
2023-03-19,皇庄,19日22时,39.21,638,平
2023-03-19,湖口,19日22时,6.66,1060,平
2023-03-22,向家坝,22日22时,267.79,3310,落
2023-03-22,寸滩,22日22时,161.54,6120,平
2023-03-22,万县,22日22时,158.03,-,落
2023-03-22,宜昌,22日22时,39.76,6820,涨
2023-03-22,沙市,22日22时,29.46,6820,平
2023-03-22,螺山,22日22时,18.29,8790,平
2023-03-22,汉口,22日22时,12.68,9010,涨
2023-03-22,九江,22日22时,7.88,8680,涨
2023-03-22,大通,22日22时,4.53,10600,落
2023-03-22,城陵矶㈦,22日22时,19.65,2380,涨
2023-03-22,皇庄,22日22时,39.23,646,平
2023-03-22,湖口,22日22时,7.12,1820,涨
2023-03-23,向家坝,23日22时,267.57,3080,落
2023-03-23,寸滩,23日22时,161.20,5650,落
2023-03-23,万县,23日22时,158.02,-,平
2023-03-23,宜昌,23日22时,39.82,6970,涨
2023-03-23,沙市,23日22时,29.37,6730,落
2023-03-23,螺山,23日22时,18.45,9040,平
2023-03-23,汉口,23日22时,12.88,9320,涨
2023-03-23,九江,23日22时,8.14,9070,涨
2023-03-23,大通,23日22时,4.79,11200,落
2023-03-23,城陵矶㈦,23日22时,19.82,2640,平
2023-03-23,皇庄,23日22时,39.17,624,落
2023-03-23,湖口,23日22时,7.50,2720,涨
2023-03-24,向家坝,24日22时,267.57,3080,落
2023-03-24,寸滩,24日22时,161.19,5630,涨
2023-03-24,万县,24日22时,157.99,-,落
2023-03-24,宜昌,24日22时,39.80,6920,平
2023-03-24,沙市,24日22时,29.39,6740,涨
2023-03-24,螺山,24日22时,18.69,9610,涨
2023-03-24,汉口,24日22时,13.09,9640,平
2023-03-24,九江,24日22时,8.48,9460,涨
2023-03-24,大通,24日22时,5.03,12400,落
2023-03-24,城陵矶㈦,24日22时,20.12,3160,涨
2023-03-24,皇庄,24日22时,39.18,628,平
2023-03-24,湖口,24日22时,7.96,3140,涨
2023-03-25,向家坝,25日22时,267.51,3020,落
2023-03-25,寸滩,25日20时,161.02,5400,落
2023-03-25,万县,25日22时,157.95,-,落
2023-03-25,宜昌,25日22时,39.96,7300,涨
2023-03-25,沙市,25日22时,29.41,6770,涨
2023-03-25,螺山,25日22时,19.29,11000,涨
2023-03-25,汉口,25日22时,13.37,10100,涨
2023-03-25,九江,25日22时,8.79,9170,涨
2023-03-25,大通,25日22时,5.24,13600,落
2023-03-25,城陵矶㈦,25日22时,20.72,5440,涨
2023-03-25,皇庄,25日22时,39.19,631,平
2023-03-25,湖口,25日22时,8.32,4880,涨
2023-03-26,向家坝,26日22时,267.60,3110,落
2023-03-26,寸滩,26日22时,160.95,5310,落
2023-03-26,万县,26日22时,157.91,-,平
2023-03-26,宜昌,26日22时,39.81,6940,落
2023-03-26,沙市,26日22时,29.48,6810,落
2023-03-26,螺山,26日22时,19.75,11700,涨
2023-03-26,汉口,26日22时,13.81,10800,涨
2023-03-26,九江,26日22时,9.17,9660,涨
2023-03-26,大通,26日22时,5.42,14700,落
2023-03-26,城陵矶㈦,26日22时,21.14,5910,涨
2023-03-26,皇庄,26日22时,39.20,635,平
2023-03-26,湖口,26日22时,8.75,6340,涨
2023-03-27,向家坝,27日22时,266.49,2070,涨
2023-03-27,寸滩,27日22时,161.24,5700,涨
2023-03-27,万县,27日22时,157.84,-,落
2023-03-27,宜昌,27日22时,39.74,6780,落
2023-03-27,沙市,27日22时,29.47,6760,平
2023-03-27,螺山,27日22时,20.08,12000,涨
2023-03-27,汉口,27日22时,14.27,11900,涨
2023-03-27,九江,27日22时,9.60,10100,涨
2023-03-27,大通,27日22时,5.68,16000,落
2023-03-27,城陵矶㈦,27日22时,21.41,6450,涨
2023-03-27,皇庄,27日22时,39.06,585,平
2023-03-27,湖口,27日22时,9.19,7340,涨
2023-03-28,向家坝,28日22时,266.64,2200,涨
2023-03-28,寸滩,28日22时,160.85,5180,落
2023-03-28,万县,28日22时,157.83,-,落
2023-03-28,宜昌,28日22时,39.87,7090,涨
2023-03-28,沙市,28日22时,29.44,6680,平
2023-03-28,螺山,28日22时,20.23,12000,平
2023-03-28,汉口,28日22时,14.64,12600,涨
2023-03-28,九江,28日22时,9.98,11100,涨
2023-03-28,大通,28日22时,5.88,17300,落
2023-03-28,城陵矶㈦,28日22时,21.51,6190,平
2023-03-28,皇庄,28日22时,39.13,610,涨
2023-03-28,湖口,28日22时,9.58,9080,涨
2023-03-29,向家坝,29日22时,266.65,2200,平
2023-03-29,寸滩,29日22时,161.04,5430,涨
2023-03-29,万县,29日22时,157.71,-,落
2023-03-29,宜昌,29日22时,39.86,7060,落
2023-03-29,沙市,29日22时,29.47,6770,涨
2023-03-29,螺山,29日22时,20.19,11600,落
2023-03-29,汉口,29日22时,14.86,13000,涨
2023-03-29,九江,29日22时,10.26,12000,涨
2023-03-29,大通,29日22时,6.07,18200,平
2023-03-29,城陵矶㈦,29日22时,21.41,5510,落
2023-03-29,皇庄,29日22时,39.16,621,平
2023-03-29,湖口,29日22时,9.84,8210,涨
2023-03-30,向家坝,30日22时,266.64,2200,涨
2023-03-30,寸滩,30日22时,161.06,5450,涨
2023-03-30,万县,30日22时,157.67,-,落
2023-03-30,宜昌,30日22时,39.75,6800,落
2023-03-30,沙市,30日22时,29.49,6780,落
2023-03-30,螺山,30日22时,20.04,11100,平
2023-03-30,汉口,30日22时,14.92,13200,平
2023-03-30,九江,30日22时,10.43,12700,涨
2023-03-30,大通,30日22时,6.11,18700,涨
2023-03-30,城陵矶㈦,30日22时,21.25,5310,落
2023-03-30,皇庄,30日22时,39.00,564,平
2023-03-30,湖口,30日22时,10.00,7970,涨
2023-03-31,向家坝,31日22时,266.52,2100,落
2023-03-31,寸滩,31日22时,160.65,4930,落
2023-03-31,万县,31日22时,157.61,-,落
2023-03-31,宜昌,31日22时,39.85,7040,落
2023-03-31,沙市,31日22时,29.44,6710,落
2023-03-31,螺山,31日22时,19.84,10700,落
2023-03-31,汉口,31日22时,14.89,13100,落
2023-03-31,九江,31日22时,10.46,12800,落
2023-03-31,大通,31日22时,6.10,18800,涨
2023-03-31,城陵矶㈦,31日22时,21.03,4440,落
2023-03-31,皇庄,31日22时,39.14,614,涨
2023-03-31,湖口,31日22时,10.00,7450,落
2023-04-01,向家坝,01日22时,266.49,2070,涨
2023-04-01,寸滩,01日22时,160.36,4570,落
2023-04-01,万县,01日22时,157.52,-,落
2023-04-01,宜昌,01日22时,39.87,7090,涨
2023-04-01,沙市,01日22时,29.46,6730,涨
2023-04-01,螺山,01日22时,19.73,10600,平
2023-04-01,汉口,01日22时,14.80,12900,平
2023-04-01,九江,01日22时,10.41,12700,落
2023-04-01,大通,01日22时,6.09,18700,涨
2023-04-01,城陵矶㈦,01日22时,20.94,4330,平
2023-04-01,皇庄,01日22时,39.21,638,落
2023-04-01,湖口,01日22时,9.95,7500,落
2023-04-02,向家坝,02日22时,266.58,2150,涨
2023-04-02,寸滩,02日22时,160.32,4520,涨
2023-04-02,万县,02日22时,157.34,-,落
2023-04-02,宜昌,02日22时,39.96,7300,涨
2023-04-02,沙市,02日22时,29.48,6760,平
2023-04-02,螺山,02日22时,19.70,10600,落
2023-04-02,汉口,02日22时,14.85,13000,涨
2023-04-02,九江,02日22时,10.32,12500,平
2023-04-02,大通,02日22时,6.12,18700,涨
2023-04-02,城陵矶㈦,02日22时,20.94,4330,平
2023-04-02,皇庄,02日22时,39.10,599,平
2023-04-02,湖口,02日22时,9.85,7400,平
2023-04-03,向家坝,03日22时,266.45,2050,落
2023-04-03,寸滩,03日22时,160.17,4330,落
2023-04-03,万县,03日22时,157.20,-,涨
2023-04-03,宜昌,03日22时,40.01,7420,涨
2023-04-03,沙市,03日22时,29.54,6870,涨
2023-04-03,螺山,03日22时,19.82,10800,涨
2023-04-03,汉口,03日22时,15.00,12700,涨
2023-04-03,九江,03日22时,10.39,12600,涨
2023-04-03,大通,03日22时,6.25,18900,落
2023-04-03,城陵矶㈦,03日22时,21.06,4480,落
2023-04-03,皇庄,03日22时,39.16,621,涨
2023-04-03,湖口,03日22时,9.87,6960,涨
2023-04-04,向家坝,04日22时,266.44,2040,平
2023-04-04,寸滩,04日22时,160.22,4860,涨
2023-04-04,万县,04日22时,157.05,-,落
2023-04-04,宜昌,04日22时,39.90,7160,涨
2023-04-04,沙市,04日22时,29.56,6890,落
2023-04-04,螺山,04日22时,20.04,11500,涨
2023-04-04,汉口,04日22时,15.22,13100,涨
2023-04-04,九江,04日22时,10.56,13900,涨
2023-04-04,大通,04日22时,6.46,19800,落
2023-04-04,城陵矶㈦,04日22时,21.35,4880,涨
2023-04-04,皇庄,04日22时,39.49,742,平
2023-04-04,湖口,04日22时,10.04,5740,涨
2023-04-05,向家坝,05日22时,266.46,2050,平
2023-04-05,寸滩,05日22时,159.91,4510,涨
2023-04-05,万县,05日22时,156.93,-,落
2023-04-05,宜昌,05日22时,39.71,6700,落
2023-04-05,沙市,05日22时,29.54,6820,落
2023-04-05,螺山,05日22时,20.69,13400,涨
2023-04-05,汉口,05日22时,15.48,13600,涨
2023-04-05,九江,05日22时,10.80,15000,涨
2023-04-05,大通,05日22时,6.48,20200,落
2023-04-05,城陵矶㈦,05日22时,22.03,7620,涨
2023-04-05,皇庄,05日22时,39.11,603,落
2023-04-05,湖口,05日22时,10.27,5520,涨
2023-04-06,向家坝,06日22时,266.39,2000,落
2023-04-06,寸滩,06日22时,160.19,4830,平
2023-04-06,万县,06日22时,156.82,-,落
2023-04-06,宜昌,06日22时,39.69,6660,落
2023-04-06,沙市,06日22时,29.48,6670,落
2023-04-06,螺山,06日22时,21.16,14000,涨
2023-04-06,汉口,06日22时,15.83,14300,涨
2023-04-06,九江,06日22时,10.97,15300,涨
2023-04-06,大通,06日22时,6.63,20700,落
2023-04-06,城陵矶㈦,06日22时,22.43,8400,涨
2023-04-06,皇庄,06日22时,38.93,539,涨
2023-04-06,湖口,06日22时,10.44,6270,落
2023-04-15,向家坝,15日23时,266.47,2060,落
2023-04-15,寸滩,15日23时,160.35,5460,涨
2023-04-15,万县,15日23时,155.37,-,平
2023-04-15,宜昌,15日23时,39.81,6940,落
2023-04-15,沙市,15日23时,29.50,6720,平
2023-04-15,螺山,15日23时,20.58,12600,落
2023-04-15,汉口,15日23时,15.81,13600,落
2023-04-15,九江,15日23时,11.27,14800,落
2023-04-15,大通,15日23时,6.90,21700,涨
2023-04-15,城陵矶㈦,15日23时,21.74,5450,平
2023-04-15,皇庄,15日23时,39.48,738,平
2023-04-15,湖口,15日23时,10.75,7120,落
2023-04-16,向家坝,16日22时,266.81,2350,落
2023-04-16,寸滩,16日22时,160.45,5580,落
2023-04-16,万县,16日22时,155.31,-,落
2023-04-16,宜昌,16日22时,39.85,7040,涨
2023-04-16,沙市,16日22时,29.44,6680,落
2023-04-16,螺山,16日22时,20.57,12600,涨
2023-04-16,汉口,16日22时,15.74,13400,平
2023-04-16,九江,16日22时,11.20,14700,落
2023-04-16,大通,16日22时,6.82,21500,涨
2023-04-16,城陵矶㈦,16日22时,21.72,5400,平
2023-04-16,皇庄,16日22时,39.23,646,落
2023-04-16,湖口,16日22时,10.69,7560,涨
2023-04-17,向家坝,17日22时,266.81,2350,落
2023-04-17,寸滩,17日22时,160.48,5620,落
2023-04-17,万县,17日22时,155.30,-,平
2023-04-17,宜昌,17日22时,39.93,7230,涨
2023-04-17,沙市,17日22时,29.44,6700,落
2023-04-17,螺山,17日20时,20.51,12400,涨
2023-04-17,汉口,17日22时,15.69,13300,平
2023-04-17,九江,17日22时,11.15,14400,落
2023-04-17,大通,17日22时,6.81,21500,涨
2023-04-17,城陵矶㈦,17日20时,21.67,5970,平
2023-04-17,皇庄,17日22时,39.15,617,平
2023-04-17,湖口,17日22时,10.66,7260,平
2023-04-18,向家坝,18日22时,267.33,2840,落
2023-04-18,寸滩,18日22时,160.71,5920,落
2023-04-18,万县,18日22时,155.27,-,落
2023-04-18,宜昌,18日22时,39.74,6780,涨
2023-04-18,沙市,18日22时,29.57,6840,落
2023-04-18,螺山,18日22时,20.49,12500,涨
2023-04-18,汉口,18日22时,15.67,13300,平
2023-04-18,九江,18日22时,11.11,14300,落
2023-04-18,大通,18日22时,6.76,21400,落
2023-04-18,城陵矶㈦,18日22时,21.68,5990,平
2023-04-18,皇庄,18日22时,39.12,606,平
2023-04-18,湖口,18日22时,10.62,7200,平
2023-04-19,向家坝,19日22时,267.36,2870,落
2023-04-19,寸滩,19日22时,161.03,6340,涨
2023-04-19,万县,19日22时,155.35,-,平
2023-04-19,宜昌,19日22时,39.83,6990,涨
2023-04-19,沙市,19日22时,29.47,6670,落
2023-04-19,螺山,19日22时,20.78,13600,涨
2023-04-19,汉口,19日22时,15.68,13300,平
2023-04-19,九江,19日22时,11.10,14300,落
2023-04-19,大通,19日22时,6.85,21400,落
2023-04-19,城陵矶㈦,19日22时,22.06,7220,涨
2023-04-19,皇庄,19日22时,39.16,621,涨
2023-04-19,湖口,19日22时,10.63,7140,涨
2023-04-20,向家坝,20日22时,267.43,2940,落
2023-04-20,寸滩,20日22时,160.91,6180,涨
2023-04-20,万县,20日22时,155.46,-,平
2023-04-20,宜昌,20日22时,39.66,6580,落
2023-04-20,沙市,20日22时,29.48,6700,平
2023-04-20,螺山,20日22时,21.20,14600,涨
2023-04-20,汉口,20日22时,15.86,13700,涨
2023-04-20,九江,20日22时,11.18,14200,涨
2023-04-20,大通,20日22时,6.91,21700,落
2023-04-20,城陵矶㈦,20日22时,22.45,8320,涨
2023-04-20,皇庄,20日22时,39.69,821,涨
2023-04-20,湖口,20日22时,10.74,7290,平
2023-04-21,向家坝,21日22时,266.80,2340,落
2023-04-21,寸滩,21日22时,161.59,7130,涨
2023-04-21,万县,21日22时,155.58,-,平
2023-04-21,宜昌,21日22时,39.62,6490,落
2023-04-21,沙市,21日22时,29.38,6550,平
2023-04-21,螺山,21日22时,21.29,14400,平
2023-04-21,汉口,21日22时,16.05,14100,涨
2023-04-21,九江,21日22时,11.38,14900,涨
2023-04-21,大通,21日22时,7.04,22200,落
2023-04-21,城陵矶㈦,21日22时,22.51,8450,平
2023-04-21,皇庄,21日22时,39.45,726,平
2023-04-21,湖口,21日22时,10.95,7730,涨
2023-04-22,向家坝,22日22时,266.62,2180,落
2023-04-22,寸滩,22日22时,161.66,7220,落
2023-04-22,万县,22日22时,155.82,-,落
2023-04-22,宜昌,22日22时,39.72,6730,落
2023-04-22,沙市,22日22时,29.36,6540,平
2023-04-22,螺山,22日22时,21.24,13900,涨
2023-04-22,汉口,22日22时,16.34,14900,平
2023-04-22,九江,22日22时,11.61,15200,涨
2023-04-22,大通,22日22时,7.19,22800,落
2023-04-22,城陵矶㈦,22日22时,22.40,8210,落
2023-04-22,皇庄,22日22时,39.33,681,平
2023-04-22,湖口,22日22时,11.17,8250,涨
2023-04-23,向家坝,23日22时,266.73,2270,落
2023-04-23,寸滩,23日22时,162.02,7730,涨
2023-04-23,万县,23日22时,156.10,-,涨
2023-04-23,宜昌,23日22时,39.79,6900,落
2023-04-23,沙市,23日22时,29.40,6600,平
2023-04-23,螺山,23日22时,21.19,13700,平
2023-04-23,汉口,23日22时,16.50,15200,涨
2023-04-23,九江,23日22时,11.81,15500,涨
2023-04-23,大通,23日22时,7.44,23200,平
2023-04-23,城陵矶㈦,23日22时,22.34,7370,平
2023-04-23,皇庄,23日22时,39.08,592,落
2023-04-23,湖口,23日22时,11.38,8170,涨
2023-04-24,向家坝,24日22时,266.68,2230,落
2023-04-24,寸滩,24日22时,161.90,7160,涨
2023-04-24,万县,24日22时,156.35,-,涨
2023-04-24,宜昌,24日22时,39.87,7090,涨
2023-04-24,沙市,24日22时,29.45,6660,平
2023-04-24,螺山,24日22时,21.19,13700,落
2023-04-24,汉口,24日22时,16.59,15500,平
2023-04-24,九江,24日22时,11.95,16000,涨
2023-04-24,大通,24日22时,7.58,23800,落
2023-04-24,城陵矶㈦,24日22时,22.34,7370,平
2023-04-24,皇庄,24日22时,39.18,628,涨
2023-04-24,湖口,24日22时,11.48,7920,涨
2023-04-26,向家坝,26日10时,267.09,2610,涨
2023-04-26,寸滩,26日10时,162.10,7450,落
2023-04-26,万县,26日10时,156.83,-,涨
2023-04-26,宜昌,26日10时,39.82,6970,落
2023-04-26,沙市,26日10时,29.58,6830,平
2023-04-26,螺山,26日10时,21.29,13800,涨
2023-04-26,汉口,26日10时,16.63,15500,平
2023-04-26,九江,26日10时,12.00,16300,涨
2023-04-26,大通,26日10时,7.46,24300,落
2023-04-26,城陵矶㈦,26日10时,22.41,7540,涨
2023-04-26,皇庄,26日10时,39.21,638,涨
2023-04-26,湖口,26日10时,11.54,7100,平
